Epoch 38: loss: 0.2323044949899549, acc: 90.87791495198903
Epoch 39: loss: 0.29445350267316983, acc: 89.2318244170096
Epoch 40: loss: 0.26420712859734247, acc: 89.78052126200275
Epoch 41: loss: 0.27981005106931145, acc: 89.84910836762688
Epoch 42: loss: 0.2831289936666903, acc: 89.78052126200275
Epoch 43: loss: 0.28061082052147907, acc: 89.02606310013718
Epoch 44: loss: 0.31754266308701556, acc: 89.09465020576131
Epoch 45: loss: 0.30705253715100495, acc: 88.34019204389575
Epoch 46: loss: 0.2983692204174788, acc: 89.57475994513031
Epoch 47: loss: 0.2518755897231724, acc: 90.26063100137175
Epoch 48: loss: 0.2558540523700092, acc: 89.98628257887518
Epoch 49: loss: 0.25712012499570847, acc: 89.57475994513031
Epoch 50: loss: 0.24307943329862927, acc: 90.12345679012346
Epoch 51: loss: 0.23697033589300903, acc: 90.26063100137175
Epoch 52: loss: 0.21283208157705225, acc: 91.0150891632373
Epoch 53: loss: 0.21629858097952345, acc: 90.94650205761317
Epoch 54: loss: 0.19306825166163238, acc: 92.04389574759945
Epoch 55: loss: 0.24651876545470694, acc: 89.91769547325103
Epoch 56: loss: 0.18152384621941525, acc: 92.04389574759945
Epoch 57: loss: 0.23628239689961725, acc: 90.53497942386831
Epoch 58: loss: 0.20654841058928033, acc: 91.0150891632373
Epoch 59: loss: 0.2060961127281189, acc: 91.0150891632373
Epoch 60: loss: 0.1949139551624008, acc: 92.5925925925926
Epoch 61: loss: 0.2147674492519835, acc: 91.76954732510288
Epoch 62: loss: 0.2009809567876484, acc: 91.56378600823045
Epoch 63: loss: 0.21097030846968942, acc: 91.90672153635117
Epoch 64: loss: 0.19156254439250284, acc: 91.70096021947874
Epoch 65: loss: 0.2128948559579642, acc: 91.35802469135803
Epoch 66: loss: 0.19377138821975046, acc: 91.70096021947874
Epoch 67: loss: 0.1927873171542002, acc: 91.9753086419753
Epoch 68: loss: 0.17963457496269888, acc: 92.18106995884774
Epoch 69: loss: 0.20073387188755948, acc: 92.18106995884774
Epoch 70: loss: 0.21846437324648318, acc: 91.6323731138546
Epoch 71: loss: 0.20655700208052344, acc: 91.6323731138546
Epoch 72: loss: 0.19996996677440146, acc: 92.04389574759945
Epoch 73: loss: 0.20296845261169516, acc: 91.35802469135803
Epoch 74: loss: 0.21751615502264188, acc: 91.22085048010975
Epoch 75: loss: 0.23620011463113452, acc: 90.39780521262003
Epoch 76: loss: 0.2617677171593127, acc: 89.98628257887518
Epoch 77: loss: 0.25444664158250974, acc: 89.64334705075446
Epoch 78: loss: 0.24142231662636218, acc: 90.39780521262003
Epoch 79: loss: 0.25505028049583023, acc: 90.05486968449931
Epoch 80: loss: 0.25021493013786233, acc: 90.80932784636488
Epoch 81: loss: 0.26280304465604865, acc: 89.64334705075446
Epoch 82: loss: 0.2543200474718343, acc: 90.26063100137175
Epoch 83: loss: 0.2608329138678053, acc: 90.05486968449931
Epoch 84: loss: 0.25131271390811255, acc: 91.0150891632373
Epoch 85: loss: 0.2582470463669818, acc: 90.05486968449931
Epoch 86: loss: 0.24712139076512793, acc: 90.80932784636488
Epoch 87: loss: 0.26468496186577756, acc: 90.46639231824417
Epoch 88: loss: 0.24073252924110577, acc: 90.46639231824417
Epoch 89: loss: 0.23401391894921011, acc: 91.35802469135803
Epoch 90: loss: 0.21974825081617935, acc: 90.6721536351166
Epoch 91: loss: 0.21315136357494022, acc: 90.87791495198903
Epoch 92: loss: 0.1981968189711156, acc: 91.70096021947874
Epoch 93: loss: 0.1908567959199781, acc: 91.83813443072702
Epoch 94: loss: 0.1880885786984278, acc: 91.70096021947874
Epoch 95: loss: 0.18851897169066512, acc: 92.38683127572017
Epoch 96: loss: 0.19205875111662823, acc: 92.04389574759945
Epoch 97: loss: 0.18671635959459387, acc: 92.04389574759945
Epoch 98: loss: 0.22291250364935916, acc: 90.1920438957476
Epoch 99: loss: 0.18346147692721823, acc: 92.31824417009602
Epoch 100: loss: 0.20010325506977414, acc: 92.18106995884774
